              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
              14               1       27.683357             N/A       39.429111       38.303642        4.035986        0.273754        0.013000        2.022425            thin             yes        9.312508              17        0.979598       37.375710       39.531551        4.428315        0.051528
              18               2       36.015266             N/A       17.287014       56.868893        3.957111        0.303917        0.013000        1.793161            thin             yes        0.522068              47        0.825856       18.450312       58.213696        3.973314       27.676182
              21               1       27.683357             N/A       37.315109       42.099834        4.729833        0.417251        0.013000        1.556484        mushroom             yes        1.126697              17        0.046279       38.590317       41.753586        4.755820        2.408725
              26               0       35.806007             N/A       45.154793       36.383595        4.099989        0.130000        0.013000        1.471829            thin             yes       32.732093               3        0.307933       45.879097       35.570339        4.800000        6.914954
              28               0       35.806007             N/A       72.849739       36.724510        4.267438        0.703755        0.013000        1.344597        mushroom             yes       14.208121              15        0.000000       72.531006       35.780415        4.519728       30.911449
              32               1       27.683357             N/A       52.870129       52.192348        4.050961        0.294026             N/A        1.221502          stubby             yes       46.764484              29        0.917468       52.345573       52.662281        4.800000       21.429647
              34               0       35.806007             N/A       40.681744       32.824413        4.554518        0.448605             N/A        1.102677            thin             yes       15.337588               2        0.688212       41.173512       32.076595        4.800000        1.347262
              35               1       27.683357             N/A       45.646343       49.349792        3.772059        0.013000             N/A        1.166738          stubby             yes       52.500245              23        0.883503       45.641659       48.561047        4.800000       13.504859
              38               1       27.683357             N/A       39.162857       44.162193        3.690377        1.024262        0.604186        1.008990          stubby             yes       47.962691              19        0.699075       39.778751       43.988991        4.400000        5.070389
              40               0       35.806007             N/A       59.396034       36.854782        4.094386        0.334337        0.153601        0.988850            thin             yes       16.093001              11        0.874507       58.764397       35.998566        4.401350       21.161169
              41               2       36.015266             N/A       14.296858       63.026249        3.853437        0.152882        0.013000        1.130996            thin             yes        6.654246              49        0.659530       13.456816       62.092129        4.000000       33.880428
              42               0       35.806007             N/A       48.163052       37.926689        4.055466        0.264857        0.013000        1.084978            thin             yes       17.401419               4        0.000000       48.230000       36.829414        4.400000        9.822616
              48               0       35.806007             N/A       58.699615       35.332275        3.877061        0.407618             N/A        0.994355          stubby             yes       38.942415              11        0.985869       58.836502       35.979790        4.411896       20.843319
              49               0       35.806007             N/A       52.990013       35.732136        4.213905        0.299679             N/A        0.977474          stubby             yes       18.724017               7        0.682543       53.034969       36.625702        4.517161       14.716342
              50               2       36.015266             N/A       14.535544       59.469833        4.092493        0.422522        0.013000        0.928484            thin             yes      -14.536621              48        0.498266       15.425121       60.306469        3.775839       31.307884
              51               0       35.806007             N/A       55.335121       37.193821        3.914255        0.013000             N/A        0.916139            thin             yes       22.377738               8        0.334196       54.913635       36.529888        4.238037       17.003529
              52               1       27.683357             N/A       57.499855       54.769135        3.833079        0.334049             N/A        0.919662          stubby             yes       36.440257              31        0.000000       57.265648       55.429642        4.350515       26.736048
              54               1       27.683357             N/A       40.832527       45.880951        3.715053        0.510306             N/A        0.890832          stubby             yes       49.227409              20        0.357582       41.397041       45.707165        4.400000        7.433858
              55               0       35.806007             N/A       55.556725       35.623859        3.715197        0.013000             N/A        0.835849          stubby             yes       42.980819               8        0.000000       55.769989       36.327087        4.400000       17.576000
              58               1       27.683357             N/A       39.259998       40.252277        5.671819        0.013000             N/A        0.968155            thin             yes      -37.830315              17        0.245012       38.109726       40.839592        4.668906        1.906802
              59               2       36.015266             N/A       27.763456       46.445534        3.790799        0.203025        0.013000        0.797579            thin             yes       13.584238              39        0.000000       28.413118       47.017815        4.000000       11.963714
              62               1       27.683357             N/A       43.977116       48.005402        3.706713        0.182342             N/A        0.814434          stubby             yes       70.014079              22        0.830062       44.096699       47.626190        4.800000       11.150222
              68               2       36.015266             N/A       15.403234       59.352146        3.715190        0.690199             N/A        0.408323        mushroom             yes       -1.034553              48        0.763893       15.839654       59.957520        3.701713       30.523972
              69               2       36.015266             N/A       16.281549       60.281998        4.057695        0.717439             N/A        0.392929          stubby             yes      -32.890483              48        0.772711       15.835864       59.960712        3.702391       30.497948
              71               2       36.015266             N/A       16.704569       58.376503        3.548855        0.261451        0.013000        0.388505          stubby             yes       14.343605              47        0.312709       17.239946       58.963566        3.752021       29.012705
              90               1       27.683357             N/A       52.794418       53.963066        4.800000        0.304896             N/A        1.304959            thin              no        0.000003              29        0.591996       53.163677       53.021362        4.800000       22.035833
              92               0       35.806007             N/A       58.629345       36.660389        4.000000        0.482390             N/A        0.754411          stubby              no       32.520876              10        0.127763       58.520626       36.042511        4.400000       20.564079
             101               0       35.806007             N/A       44.849998       33.921677        3.600000        0.130000             N/A        1.871884          stubby              no       54.152508               3        0.720790       44.400276       34.662895        4.800000        5.367564
             103               0       35.806007             N/A       43.184586       33.020000        4.400000        0.130000             N/A        1.008234          stubby              no       33.124296               2        0.222247       42.767483       33.469257        4.800000        3.360740
